Unnamed: 0,Age,Attrition,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TrainingTimesLastYear,WorkLifeBalance,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,FractionYearsAtCompany
14,22.0,No,Sales,3.0,Bachelor,Marketing,Very High,Female,High,1.4142135623730951,Sales Executive,Very High,Single,8.335911094196945,71.40728254176881,1.0,No,3.741657386773941,Excellent,Low,0.0,3.0,Better,2.6457513110645907,0.0,2.6457513110645907,0.4285714285714285
16,40.0,No,Sales,2.8284271247461903,Bachelor,Marketing,Low,Male,High,2.0,Sales Executive,Very High,Married,8.492080490601161,150.9602596712128,2.23606797749979,No,3.741657386773941,Excellent,High,1.0,5.0,Better,0.0,1.4142135623730951,1.4142135623730951,0.10714285714285712
20,35.0,Yes,Research & Development,1.0,College,Life Sciences,Low,Male,Low,1.0,Research Scientist,Medium,Single,7.784889295655098,62.22539674441618,2.6457513110645907,Yes,3.6055512754639887,Excellent,Very High,0.0,2.0,Better,2.6457513110645907,1.7320508075688772,2.6457513110645907,0.1
21,26.0,No,Research & Development,4.69041575982343,Bachelor,Life Sciences,Very High,Male,Low,1.0,Laboratory Technician,High,Single,8.464003362902119,138.6542462386205,0.0,No,3.8729833462074175,Excellent,High,0.0,3.0,Better,2.0,2.0,1.7320508075688772,0.8333333333333336
22,31.0,No,Research & Development,2.449489742783178,Bachelor,Life Sciences,High,Female,High,1.0,Laboratory Technician,Very High,Married,7.741533589281827,133.26289806243898,1.0,Yes,3.6055512754639887,Excellent,High,1.0,2.0,Better,1.4142135623730951,0.0,1.4142135623730951,1.0
24,40.0,No,Research & Development,3.1622776601683795,Bachelor,Life Sciences,Very High,Male,Medium,2.23606797749979,Research Director,Medium,Married,9.874882295525794,116.54612820681776,2.0,No,3.4641016151377544,Excellent,Very High,0.0,5.0,Better,3.1622776601683795,3.4641016151377544,3.0,0.7241379310344825
27,31.0,No,Sales,4.795831523312719,Master,Marketing,Medium,Female,High,1.4142135623730951,Sales Executive,High,Single,8.336630087637149,100.16985574512924,0.0,No,4.47213595499958,Excellent,High,0.0,3.0,Better,2.23606797749979,2.8284271247461903,2.6457513110645907,0.1
28,30.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Male,High,1.4142135623730951,Manufacturing Director,High,Single,8.32239411311117,125.83322295800899,1.4142135623730951,No,3.3166247903554,Excellent,Very High,0.0,3.0,Good,1.4142135623730951,0.0,1.4142135623730951,0.7999999999999999
29,27.5,No,Sales,1.4142135623730951,Bachelor,Medical,Very High,Male,Medium,1.4142135623730951,Sales Executive,Medium,Married,7.2392149737798075,115.0782342582645,1.4142135623730951,No,3.741657386773941,MISSING,Very High,0.0,2.0,Good,2.449489742783178,0.0,2.8284271247461903,0.058823529411764705
31,53.0,No,Research & Development,2.23606797749979,Bachelor,Life Sciences,Very High,Female,Medium,1.7320508075688772,Healthcare Representative,Very High,Divorced,9.831239388328504,145.65026604850402,2.0,No,3.8729833462074175,Excellent,High,1.0,6.0,Better,1.4142135623730951,1.0,1.4142135623730951,0.7777777777777778
32,36.0,No,Research & Development,1.4142135623730951,Master,Life Sciences,Very High,Male,Medium,1.0,Research Scientist,High,Divorced,8.50532301884575,91.73875952943771,1.7320508075688772,No,3.4641016151377544,Outstanding,High,1.0,0.0,Better,1.7320508075688772,2.23606797749979,2.6457513110645907,0.21428571428571433
33,57.5,No,Research & Development,3.1622776601683795,Bachelor,Other,High,Female,High,1.4142135623730951,Research Scientist,High,Single,8.80492526261806,88.9325587172662,1.7320508075688772,No,3.6055512754639887,Excellent,Very High,0.0,6.0,Best,2.6457513110645907,1.0,2.6457513110645907,0.4999999999999999
34,33.5,No,Research & Development,4.898979485566356,Bachelor,Life Sciences,Very High,Male,High,2.0,Manufacturing Director,High,Married,7.833203948641058,64.50581369148055,1.7320508075688772,Yes,4.242640687119285,MISSING,Very High,1.0,2.0,Better,3.3166247903554,1.0,2.23606797749979,0.09090909090909091
35,35.0,No,Research & Development,2.0,College,Life Sciences,Low,Female,High,1.0,Research Scientist,High,Divorced,8.434028950155469,56.63920903402519,1.0,No,3.3166247903554,Excellent,Medium,1.7320508075688772,2.0,Better,1.7320508075688772,0.0,1.7320508075688772,0.5000000000000001
36,31.0,Yes,Sales,2.23606797749979,Bachelor,Life Sciences,Medium,Male,High,1.7320508075688772,Sales Executive,Medium,Single,7.749753406274438,146.74467622370497,3.0,Yes,4.358898943540674,Outstanding,High,0.0,0.0,Good,2.6457513110645907,2.6457513110645907,2.6457513110645907,0.29999999999999993
39,27.0,No,Sales,3.1622776601683795,Master,Medical,Very High,Male,High,2.0,Sales Executive,High,Single,8.019941687677365,156.2337991601049,0.0,No,3.6055512754639887,Excellent,High,0.0,6.0,Good,3.1622776601683795,1.0,2.8284271247461903,0.10526315789473681
40,39.0,No,Sales,1.4142135623730951,Doctor,Marketing,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Married,8.320691571048451,140.20698984002192,1.4142135623730951,No,3.741657386773941,Excellent,Low,1.0,2.0,Better,2.6457513110645907,2.449489742783178,2.6457513110645907,0.5000000000000002
42,47.0,No,Research & Development,1.4142135623730951,Master,Medical,Low,Male,High,2.0,Research Director,High,Married,7.632401126601452,163.41052597675585,1.7320508075688772,No,4.358898943540674,Excellent,Medium,1.4142135623730951,3.0,Best,4.123105625617661,2.23606797749979,2.449489742783178,0.19230769230769235
45,38.0,No,Sales,1.4142135623730951,Master,Marketing,High,Male,High,1.4142135623730951,Sales Executive,Medium,Married,9.035272443893538,59.464274989274024,2.6457513110645907,No,3.3166247903554,Excellent,Very High,1.0,2.0,Bad,0.0,0.0,0.0,0.25
46,36.0,No,Sales,1.7320508075688772,Master,Life Sciences,Medium,Male,High,1.4142135623730951,Sales Executive,Very High,Single,8.212839584676484,70.57619995437554,2.8284271247461903,Yes,3.4641016151377544,Excellent,High,0.0,2.0,Better,0.0,0.0,0.0,0.05263157894736841
47,29.0,No,Research & Development,4.795831523312719,Bachelor,Medical,Medium,Male,High,1.4142135623730951,Laboratory Technician,Medium,Married,8.3707791729607,158.24980252752292,2.0,No,3.4641016151377544,Excellent,High,1.0,1.0,Best,1.4142135623730951,1.0,1.4142135623730951,0.5882352941176472
48,42.0,No,Research & Development,1.0,Below College,Technical Degree,High,Female,Medium,1.4142135623730951,Manufacturing Director,Low,Married,9.48729005784892,98.38190890605854,2.23606797749979,No,4.358898943540674,Excellent,High,1.0,6.0,Better,1.4142135623730951,1.4142135623730951,0.0,0.1666666666666667
49,34.0,No,Sales,5.291502622129181,Bachelor,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,High,Married,8.302265794873367,94.75230867899737,1.0,No,4.58257569495584,Excellent,Very High,1.4142135623730951,3.0,Better,2.6457513110645907,1.0,2.6457513110645907,0.37499999999999994
50,27.5,Yes,Research & Development,5.385164807134505,Master,Life Sciences,Low,Female,High,1.7320508075688772,Manager,Medium,Married,7.863266724009573,101.3311403271472,1.0,Yes,3.4641016151377544,Excellent,Very High,1.0,2.0,Good,2.6457513110645907,3.0,3.0,0.1
51,41.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Very High,Male,High,1.0,Laboratory Technician,Low,Single,9.035034150076132,139.22643427165693,1.7320508075688772,No,3.741657386773941,Excellent,Medium,0.0,2.0,Better,1.4142135623730951,1.0,1.4142135623730951,0.9090909090909092
52,35.0,No,Research & Development,2.6457513110645907,Bachelor,Life Sciences,Low,Female,High,2.23606797749979,Manager,Low,Married,9.112617283447568,62.08059278067503,2.23606797749979,No,3.3166247903554,Outstanding,Very High,0.0,2.0,Bad,2.8284271247461903,3.3166247903554,3.1622776601683795,0.2727272727272727
53,51.5,Yes,Research & Development,3.4641016151377544,Bachelor,Technical Degree,Medium,Male,High,2.23606797749979,Research Director,High,Married,9.442562587223595,127.59310326189264,1.0,No,3.4641016151377544,MISSING,Very High,0.0,6.0,Better,3.8729833462074175,3.8729833462074175,2.8284271247461903,0.04347826086956522
54,48.0,No,Research & Development,5.385164807134505,Master,Other,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Single,9.305559638557117,88.0,1.0,No,5.0,MISSING,Medium,0.0,3.0,Better,3.3166247903554,3.6055512754639887,4.123105625617661,0.7500000000000001
55,38.0,No,Research & Development,5.291502622129181,Master,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Divorced,8.279950715722526,164.21936548409874,2.0,No,4.69041575982343,Excellent,Low,1.0,3.0,Better,2.23606797749979,1.0,2.6457513110645907,0.2727272727272727
56,45.5,Yes,Sales,5.385164807134505,College,Medical,Medium,Male,Low,1.4142135623730951,Sales Executive,Low,Single,8.210939733379021,147.69224759614158,2.8284271247461903,No,4.242640687119285,Excellent,Very High,0.0,2.0,Better,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.4285714285714285
57,46.0,No,Research & Development,1.0,Master,Life Sciences,Medium,Male,Low,1.0,Research Scientist,Very High,Divorced,9.171495588152617,137.69168457100088,1.0,No,4.242640687119285,Excellent,Very High,1.0,3.0,Better,2.6457513110645907,1.4142135623730951,2.8284271247461903,0.8999999999999999
58,41.0,No,Sales,1.7320508075688772,Master,Life Sciences,Very High,Male,High,1.7320508075688772,Sales Executive,Very High,Divorced,7.804251383528112,82.5348411278534,2.449489742783178,No,3.6055512754639887,Excellent,Medium,1.0,2.0,Better,3.0,0.0,2.8284271247461903,0.7500000000000001
59,36.0,No,Sales,3.1622776601683795,Bachelor,Medical,High,Male,Medium,1.4142135623730951,Sales Executive,High,Single,8.721602344674197,153.0130713370593,3.0,No,3.3166247903554,MISSING,High,0.0,3.0,Better,1.4142135623730951,1.0,2.0,0.25
60,28.0,No,Research & Development,3.0,Doctor,Other,Medium,Male,Medium,1.0,Laboratory Technician,Very High,Single,7.903226808730732,87.29833904490967,0.0,No,4.123105625617661,Excellent,High,0.0,3.0,Better,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.7499999999999999
62,34.0,No,Research & Development,4.0,Bachelor,Medical,Very High,Male,High,1.0,Laboratory Technician,Low,Divorced,8.194781638443361,157.9271984174987,2.0,Yes,4.0,Excellent,Medium,1.0,3.0,Good,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.3529411764705882
63,56.0,No,Research & Development,4.58257569495584,Bachelor,Life Sciences,Medium,Female,Very High,1.0,Research Scientist,Low,Married,9.900633483553221,151.58166115991736,1.0,Yes,3.4641016151377544,MISSING,Low,1.0,2.0,Good,2.6457513110645907,1.0,2.6457513110645907,0.6249999999999999
66,44.0,No,Research & Development,1.7320508075688772,College,Medical,High,Male,Medium,1.4142135623730951,Laboratory Technician,High,Divorced,8.13739583005665,101.49876846543509,0.0,No,3.8729833462074175,Excellent,Very High,1.0,3.0,Better,2.8284271247461903,0.0,2.6457513110645907,0.45454545454545464
67,21.0,No,Sales,1.7320508075688772,Bachelor,Medical,Very High,Male,High,2.0,Sales Executive,High,Divorced,8.044626279767337,101.11874208078342,3.0,Yes,3.4641016151377544,Excellent,Very High,1.4142135623730951,2.0,Good,1.4142135623730951,3.3166247903554,3.6055512754639887,0.07142857142857144
68,26.0,No,Research & Development,2.6457513110645907,Master,Medical,Very High,Male,High,1.4142135623730951,Research Scientist,Very High,Married,8.607399459302387,125.28367810692659,2.0,No,3.8729833462074175,Excellent,Medium,1.0,2.0,Good,1.0,1.0,2.6457513110645907,0.5714285714285717
69,45.0,No,Sales,2.6457513110645907,Master,Marketing,Very High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Single,8.54752839121231,88.26664149042944,0.0,No,4.47213595499958,MISSING,Low,0.0,3.0,Better,2.6457513110645907,0.0,2.23606797749979,1.0
70,48.0,No,Research & Development,2.8284271247461903,College,Medical,High,Male,Very High,1.4142135623730951,Research Scientist,High,Married,9.812741939229383,148.86906999104946,2.23606797749979,No,3.4641016151377544,MISSING,High,1.0,2.0,Good,1.7320508075688772,1.0,1.7320508075688772,0.1111111111111111
71,56.0,Yes,Research & Development,3.1622776601683795,Master,Medical,Very High,Male,High,1.4142135623730951,Manufacturing Director,Low,Single,9.314970621054263,70.65408693062278,1.0,No,3.8729833462074175,Excellent,Medium,0.0,1.0,Bad,1.7320508075688772,0.0,2.8284271247461903,1.0
72,27.5,No,Research & Development,1.0,Master,Medical,Medium,Female,Very High,2.0,Research Director,Very High,Divorced,8.4906438561827,111.41813137905338,1.4142135623730951,No,3.6055512754639887,Excellent,Very High,1.4142135623730951,3.0,Best,2.6457513110645907,0.0,0.0,0.12903225806451615
75,19.0,No,Research & Development,1.7320508075688772,College,Medical,Very High,Male,High,1.0,Laboratory Technician,Medium,Single,7.849323818040562,122.72734006732159,2.0,No,3.4641016151377544,Excellent,High,0.0,3.0,Good,2.6457513110645907,2.6457513110645907,1.4142135623730951,0.07692307692307696
77,44.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,High,Male,High,1.0,Laboratory Technician,Very High,Single,7.632401126601452,81.67006795638167,2.0,No,3.3166247903554,Outstanding,Very High,0.0,3.0,Better,1.0,0.0,0.0,0.3571428571428571
78,27.5,Yes,Research & Development,1.4142135623730951,Master,Life Sciences,Medium,Male,Low,1.0,Laboratory Technician,Very High,Divorced,7.804251383528112,133.13526955694348,2.0,Yes,3.6055512754639887,Excellent,High,1.0,3.0,Good,2.6457513110645907,1.0,0.0,0.1
79,51.0,No,Sales,3.6055512754639887,Below College,Medical,Medium,Male,High,1.0,Sales Representative,High,Married,9.268231850391961,162.4068964052943,1.0,No,3.3166247903554,Excellent,High,0.0,5.0,Better,2.0,0.0,2.449489742783178,0.5714285714285713
80,24.0,No,Research & Development,1.0,Bachelor,Life Sciences,High,Male,High,1.0,Research Scientist,Very High,Married,9.259511415982633,74.3706931526122,1.0,No,3.3166247903554,Excellent,High,1.0,2.0,Best,1.7320508075688772,0.0,1.7320508075688772,0.0
81,31.0,No,Research & Development,3.0,Bachelor,Medical,Very High,Male,High,1.0,Research Scientist,Very High,Married,8.222016437202196,51.11751167652822,1.0,No,4.795831523312719,Excellent,Very High,1.0,2.0,Good,1.4142135623730951,0.0,2.0,0.4
83,33.0,Yes,Research & Development,5.291502622129181,College,Life Sciences,Low,Male,Medium,1.4142135623730951,Laboratory Technician,Low,Single,8.336630087637149,150.69837424471442,1.7320508075688772,No,4.47213595499958,Excellent,Low,0.0,3.0,Better,1.7320508075688772,1.0,1.7320508075688772,0.5000000000000001
84,28.0,No,Sales,2.449489742783178,Bachelor,Life Sciences,Very High,Female,High,1.7320508075688772,Manager,Very High,Single,7.83002808253384,121.13628688382354,1.7320508075688772,Yes,4.242640687119285,Excellent,High,0.0,4.0,Better,0.0,0.0,0.0,0.0625
86,46.0,No,Research & Development,4.0,Master,Technical Degree,High,Male,High,1.0,Laboratory Technician,Medium,Married,9.88466144828608,109.93634521849451,3.0,No,3.741657386773941,Excellent,Medium,1.0,0.0,Better,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.5000000000000001
87,30.0,No,Sales,3.0,Bachelor,Marketing,High,Female,High,2.23606797749979,Manager,High,Married,7.632401126601452,139.71041478715895,2.0,Yes,4.0,Outstanding,High,1.0,2.0,Better,0.0,0.0,0.0,0.1851851851851852
89,40.0,Yes,Research & Development,1.7320508075688772,Below College,Technical Degree,High,Female,High,1.0,Research Scientist,Low,Single,8.145549631783584,81.12952606788727,0.0,No,4.69041575982343,Outstanding,High,0.0,2.0,Better,2.0,0.0,2.0,0.14285714285714282
90,29.0,No,Research & Development,4.795831523312719,Doctor,Life Sciences,Low,Male,High,2.0,Research Director,Very High,Single,8.245909264774092,126.09916732476864,1.4142135623730951,No,3.741657386773941,Excellent,Medium,0.0,3.0,Better,0.0,0.0,0.0,0.6875
91,27.0,No,Research & Development,1.4142135623730951,Doctor,Medical,Very High,Male,High,1.0,Research Scientist,High,Married,7.70796153183549,143.0769023986751,2.449489742783178,Yes,3.6055512754639887,Excellent,Medium,1.0,3.0,Bad,0.0,0.0,1.0,0.8333333333333336
92,46.0,No,Research & Development,3.1622776601683795,Bachelor,Life Sciences,High,Male,Very High,1.7320508075688772,Research Director,Very High,Married,9.056956065076825,124.38247464976729,1.0,Yes,5.0,Excellent,Low,1.0,3.0,Better,3.3166247903554,2.449489742783178,2.8284271247461903,0.5625
93,36.0,No,Research & Development,2.6457513110645907,Bachelor,Medical,Low,Male,High,1.0,Research Scientist,High,Married,8.336630087637149,141.77446878757826,2.0,Yes,4.358898943540674,Excellent,High,1.0,3.0,Good,1.4142135623730951,0.0,1.4142135623730951,0.5714285714285713
94,39.5,No,Research & Development,1.4142135623730951,Bachelor,Life Sciences,High,Male,Very High,1.7320508075688772,Healthcare Representative,Very High,Married,9.206031100388083,121.6963434126104,1.0,Yes,4.358898943540674,Excellent,Medium,1.0,5.0,Better,2.6457513110645907,2.449489742783178,2.6457513110645907,0.6666666666666665
95,36.0,No,Research & Development,5.0,Doctor,Medical,Medium,Male,High,1.4142135623730951,Research Scientist,High,Married,7.8800482009715775,154.48624534242526,1.7320508075688772,Yes,3.8729833462074175,Outstanding,Low,1.4142135623730951,3.0,Better,3.3166247903554,3.1622776601683795,2.6457513110645907,0.19999999999999993
96,23.0,No,Research & Development,2.8284271247461903,Master,Life Sciences,Low,Male,Very High,1.0,Laboratory Technician,Very High,Married,7.8811822022271025,71.02112361825881,1.4142135623730951,Yes,4.898979485566356,Excellent,High,1.0,6.0,Good,1.4142135623730951,0.0,1.4142135623730951,0.4999999999999999
97,50.0,No,Research & Development,1.4142135623730951,Below College,Life Sciences,Very High,Male,Medium,1.4142135623730951,Manufacturing Director,High,Married,9.869465303921693,118.63389060466659,1.0,No,4.123105625617661,Excellent,High,0.0,2.0,Good,3.0,1.0,3.0,0.1
98,37.0,No,Research & Development,1.0,Master,Life Sciences,High,Male,High,1.4142135623730951,Healthcare Representative,High,Divorced,9.522519916028351,161.97530676001205,1.0,No,4.58257569495584,Excellent,Low,1.0,2.0,Good,3.4641016151377544,1.0,3.0,0.3846153846153848
99,22.0,No,Research & Development,1.4142135623730951,Bachelor,Medical,Medium,Female,Medium,1.4142135623730951,Laboratory Technician,High,Married,7.7160152666425885,115.9137610467368,2.449489742783178,No,4.69041575982343,Excellent,Medium,1.0,1.0,Better,0.0,0.0,0.0,0.1
100,40.0,Yes,Sales,1.0,College,Life Sciences,Low,Female,Low,1.4142135623730951,Sales Executive,Medium,Single,8.353261499733874,110.21342930877344,2.449489742783178,No,3.8729833462074175,Outstanding,Medium,0.0,2.0,Better,0.0,0.0,0.0,0.7999999999999999
101,33.0,No,Research & Development,1.0,Master,Medical,Very High,Female,High,2.23606797749979,Research Director,Very High,Divorced,8.413608875159667,146.44111444536333,3.0,No,4.123105625617661,Outstanding,Very High,1.4142135623730951,4.0,Better,1.4142135623730951,1.4142135623730951,1.4142135623730951,0.5652173913043478
102,40.0,No,Research & Development,1.4142135623730951,College,Life Sciences,Very High,Female,High,1.0,Laboratory Technician,Very High,Single,9.259511415982633,108.92199043352082,0.0,No,3.6055512754639887,Excellent,High,0.0,2.0,Good,2.6457513110645907,1.7320508075688772,2.449489742783178,0.6249999999999999
103,28.0,No,Sales,2.8284271247461903,Bachelor,Life Sciences,Very High,Male,High,1.7320508075688772,Sales Executive,High,Single,9.73115592977152,54.543560573178574,1.0,No,3.8729833462074175,Excellent,Very High,0.0,2.0,Better,2.8284271247461903,1.0,2.6457513110645907,0.8888888888888891
104,48.0,No,Sales,4.358898943540674,Bachelor,Life Sciences,High,Male,Medium,1.4142135623730951,Sales Executive,High,Divorced,7.632401126601452,154.13305939998725,1.0,No,3.741657386773941,Excellent,High,1.4142135623730951,2.0,Better,2.6457513110645907,0.0,2.0,0.0
106,22.0,No,Research & Development,5.0990195135927845,Below College,Life Sciences,Low,Male,High,1.0,Research Scientist,High,Divorced,7.9561263512135,123.16655390161728,1.0,No,4.123105625617661,Excellent,Very High,1.0,5.0,Good,1.4142135623730951,2.0,1.7320508075688772,0.0
109,47.0,No,Research & Development,1.0,Bachelor,Technical Degree,Low,Female,High,1.0,Laboratory Technician,Very High,Married,8.420021279663963,70.07139216541941,2.0,No,3.3166247903554,Outstanding,Medium,1.0,6.0,Good,1.4142135623730951,0.0,1.4142135623730951,1.0
111,35.0,No,Sales,1.0,Master,Marketing,High,Male,Medium,1.4142135623730951,Sales Executive,Low,Single,9.296793259706384,151.71025014810306,0.0,No,3.741657386773941,Excellent,Medium,0.0,2.0,Better,3.6055512754639887,1.4142135623730951,2.8284271247461903,0.8124999999999998
112,26.0,No,Sales,1.7320508075688772,Bachelor,Medical,Low,Female,Medium,1.7320508075688772,Sales Executive,Very High,Married,8.332548939252638,112.67209059922514,0.0,No,4.358898943540674,Excellent,High,1.4142135623730951,2.0,Better,2.6457513110645907,1.7320508075688772,2.0,0.19999999999999998
114,35.0,No,Research & Development,3.0,Bachelor,Medical,High,Female,High,2.0,Healthcare Representative,Very High,Married,7.998671361015776,142.89856542317,2.6457513110645907,No,3.3166247903554,Excellent,High,0.0,5.0,Good,2.6457513110645907,1.0,1.0,0.13333333333333336
115,27.0,No,Sales,1.0,College,Life Sciences,High,Male,Medium,1.4142135623730951,Sales Executive,Very High,Married,7.623153068476903,138.76238683447326,1.0,Yes,3.4641016151377544,MISSING,High,1.0,0.0,Better,2.6457513110645907,0.0,2.6457513110645907,0.5714285714285713
116,30.0,No,Research & Development,1.4142135623730951,Bachelor,Life Sciences,Low,Male,High,2.0,Research Director,High,Married,8.228977643358313,47.83304297240559,2.449489742783178,No,3.6055512754639887,Excellent,High,0.0,6.0,Bad,1.4142135623730951,0.0,1.0,0.4615384615384615
117,38.0,No,Research & Development,3.0,Master,Life Sciences,Low,Male,Very High,1.0,Laboratory Technician,Medium,Married,7.43955930913332,96.11451503285026,1.0,No,4.69041575982343,Outstanding,Medium,0.0,3.0,Better,2.0,0.0,1.4142135623730951,0.19999999999999998
118,48.0,No,Research & Development,2.449489742783178,Doctor,Life Sciences,High,Male,High,1.0,Research Scientist,High,Single,9.629182277125986,111.48990985734987,1.7320508075688772,No,4.47213595499958,Outstanding,Low,0.0,3.0,Better,2.0,1.0,2.0,0.25
119,31.0,Yes,Sales,2.6457513110645907,College,Medical,Very High,Female,High,1.0,Sales Representative,High,Married,8.424858580213442,108.35128056465228,1.4142135623730951,Yes,3.3166247903554,Excellent,High,1.4142135623730951,2.0,Better,2.6457513110645907,2.6457513110645907,2.6457513110645907,0.10526315789473685
122,38.0,No,Sales,1.0,College,Medical,Medium,Female,Low,1.4142135623730951,Sales Executive,Very High,Married,8.595079730073309,115.20850663036995,1.4142135623730951,Yes,4.69041575982343,Outstanding,High,1.7320508075688772,4.0,Good,1.7320508075688772,0.0,1.4142135623730951,0.6666666666666669
123,40.0,No,Research & Development,1.0,Master,Medical,High,Female,Low,1.4142135623730951,Manufacturing Director,High,Married,8.442254104751742,66.18912297349165,0.0,No,3.4641016151377544,Excellent,Very High,1.0,2.0,Better,2.0,1.0,2.0,0.8333333333333336
124,40.0,Yes,Sales,2.23606797749979,Bachelor,Technical Degree,Very High,Male,High,1.4142135623730951,Sales Representative,Very High,Married,7.632401126601452,57.749458871923636,1.7320508075688772,No,3.741657386773941,Excellent,High,1.0,3.0,Best,0.0,0.0,0.0,0.36842105263157887
125,18.0,No,Human Resources,4.123105625617661,Bachelor,Other,Medium,Female,Medium,1.7320508075688772,Human Resources,Low,Single,9.73115592977152,98.83825170448941,1.0,No,3.6055512754639887,Excellent,Low,0.0,2.0,Good,3.0,0.0,3.0,0.0
126,37.0,No,Sales,1.0,College,Life Sciences,Low,Male,High,1.7320508075688772,Sales Executive,Very High,Married,8.005033344637111,134.506505418883,1.7320508075688772,No,3.741657386773941,MISSING,Very High,1.0,2.0,Better,0.0,1.0,0.0,0.25
127,26.0,No,Human Resources,3.1622776601683795,Master,Human Resources,Medium,Female,Medium,2.23606797749979,Manager,Very High,Divorced,7.983781068977453,94.13288479590963,1.7320508075688772,No,3.8729833462074175,Excellent,Medium,1.7320508075688772,3.0,Good,2.449489742783178,3.4641016151377544,2.449489742783178,0.04347826086956522
